0	0.0003151	0	42
1	0.0003289	1	49
2	0.0003151	0	93
3	0.0003213	1	68
4	0.0003300	2	92
5	0.0003351	2	167
6	0.0003540	5	108
7	0.0003188	1	69
8	0.0003236	1	34
9	0.0003326	1	37
10	0.0003151	0	47
11	0.0003570	4	70
12	0.0003504	3	53
13	0.0003523	4	174
14	0.0003272	1	77
15	0.0003188	1	49
16	0.0003270	1	73
17	0.0003412	2	107
18	0.0003425	3	51
19	0.0003653	5	65
20	0.0003368	2	70
21	0.0003772	8	128
22	0.0003387	3	10
23	0.0003247	2	77
24	0.0003265	2	36
25	0.0003555	4	29
26	0.0003657	4	29
27	0.0003888	5	56
28	0.0004120	7	96
29	0.0004184	9	47
30	0.0004256	8	58
31	0.0003897	6	42
32	0.0004334	9	24
33	0.0004433	9	19
34	0.0005313	12	17
35	0.0006617	16	41
36	0.0005365	13	30
37	0.0006460	14	21
38	0.0006398	14	31
39	0.0006314	13	21
40	0.0007639	17	41
41	0.0003668	7	82
42	0.0003651	7	66
43	0.0003151	0	12
44	0.0004948	13	91
45	0.0003353	2	44
46	0.0003712	6	65
47	0.0004321	7	42
48	0.0005589	7	50
49	0.0003254	1	12
50	0.0003849	2	13
51	0.0004411	10	57
52	0.0003274	1	23
53	0.0003687	5	35
54	0.0003907	4	45
55	0.0003621	6	35
56	0.0003811	7	39
57	0.0003989	8	57
58	0.0004255	11	113
59	0.0004186	10	41
60	0.0003151	0	53
61	0.0003895	5	64
62	0.0005554	22	192
63	0.0004908	18	105
64	0.0004579	15	153
65	0.0003792	6	83
66	0.0003406	2	32
67	0.0003346	1	8
68	0.0003483	5	41
69	0.0003521	4	58
70	0.0003203	1	17
71	0.0004535	3	13
72	0.0003293	2	6
73	0.0003347	2	27
74	0.0004975	12	79
75	0.0004009	3	17
76	0.0004002	4	18
77	0.0003203	1	24
78	0.0003486	3	20
79	0.0004270	8	34
80	0.0003828	8	62
81	0.0004342	14	97
82	0.0007370	31	200
83	0.0005791	18	121
84	0.0008356	20	110
85	0.0004064	8	29
86	0.0010403	40	176
87	0.0006115	23	114
88	0.0003729	5	26
89	0.0005165	16	53
90	0.0003689	6	21
91	0.0003992	5	24
92	0.0005473	9	33
93	0.0006424	19	66
94	0.0003514	5	37
95	0.0004200	10	36
96	0.0008434	33	85
97	0.0003188	1	22
98	0.0003667	5	18
99	0.0004000	6	21
100	0.0004953	9	30
101	0.0004923	8	19
102	0.0004925	10	11
103	0.0004325	9	41
104	0.0003754	5	26
105	0.0005759	24	120
106	0.0006641	25	115
107	0.0010646	49	170
108	0.0005197	9	32
109	0.0003639	3	2
110	0.0003886	3	6
111	0.0004957	4	4
112	0.0004974	8	11
113	0.0007366	23	62
114	0.0008264	34	106
115	0.0006432	28	101
116	0.0007863	22	59
117	0.0003945	6	12
118	0.0004530	8	22
119	0.0004204	4	10
120	0.0004495	8	9
121	0.0012582	52	180
122	0.0003665	3	22
123	0.0005374	11	23
124	0.0005421	10	32
125	0.0005653	11	16
126	0.0004184	10	23
127	0.0005745	12	16
128	0.0009409	45	99
129	0.0008938	39	123
130	0.0004621	8	27
131	0.0005590	18	40
132	0.0005461	19	42
133	0.0008428	32	74
134	0.0003933	8	15
135	0.0005956	17	19
136	0.0005142	10	17
137	0.0006948	27	56
138	0.0004832	12	20
139	0.0005099	10	28
140	0.0004145	9	30
141	0.0004913	18	63
142	0.0009180	41	98
143	0.0006175	19	30
144	0.0003412	2	11
145	0.0005470	20	49
146	0.0006154	12	16
147	0.0005639	17	33
148	0.0003289	1	17
149	0.0003883	4	24
150	0.0004850	8	29
151	0.0008828	24	20
152	0.0008192	25	44
153	0.0005823	17	35
154	0.0005231	16	36
155	0.0009138	29	49
156	0.0003493	2	21
157	0.0006233	16	61
158	0.0004737	14	33
159	0.0003888	6	30
160	0.0023385	94	251
161	0.0004658	14	27
162	0.0006755	20	44
163	0.0006716	21	31
164	0.0005148	15	31
165	0.0014531	46	71
166	0.0015758	64	111
167	0.0005943	15	53
168	0.0006219	21	54
169	0.0011255	45	72
170	0.0011467	37	59
171	0.0006182	17	26
172	0.0008482	33	57
173	0.0009455	34	47
174	0.0006871	25	46
175	0.0004002	6	5
176	0.0003925	5	28
177	0.0005713	16	36
178	0.0004730	9	25
179	0.0006509	18	35
180	0.0009279	30	51
181	0.0007308	20	39
182	0.0005168	10	35
183	0.0013937	61	110
184	0.0007266	29	49
185	0.0006112	8	14
186	0.0005661	11	18
187	0.0007346	25	29
188	0.0005694	17	24
189	0.0009018	24	50
190	0.0005440	16	18
191	0.0007364	21	39
192	0.0004705	8	13
193	0.0004904	11	15
194	0.0006579	18	26
195	0.0006342	15	20
196	0.0004821	11	22
197	0.0005995	16	19
198	0.0006270	15	21
199	0.0006849	20	29
200	0.0006611	14	20
201	0.0009167	27	28
202	0.0004341	3	4
203	0.0007236	19	20
204	0.0008264	18	17
205	0.0008495	18	13
206	0.0013171	26	33
207	0.0009179	20	8
208	0.0007467	22	29
209	0.0009591	34	49
210	0.0008590	34	50
211	0.0014137	57	95
212	0.0013459	54	65
213	0.0004742	10	36
214	0.0010314	24	27
215	0.0010824	38	52
216	0.0005058	12	15
217	0.0006275	10	14
218	0.0010136	26	40
219	0.0005020	10	8
220	0.0006044	13	3
221	0.0007669	26	35
222	0.0009235	29	41
223	0.0013176	29	27
224	0.0004857	8	5
225	0.0006946	14	14
226	0.0010608	28	35
227	0.0005366	7	11
228	0.0005765	9	13
229	0.0008767	21	10
230	0.0004184	11	10
231	0.0010200	23	39
232	0.0013305	35	54
233	0.0009048	30	34
234	0.0006451	18	31
235	0.0005485	9	15
236	0.0009424	30	20
237	0.0006929	14	15
238	0.0009322	20	23
239	0.0005433	9	2
240	0.0008071	13	7
241	0.0009929	11	10
242	0.0013135	22	10
